Age,Attrition,Department,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany
30,No,Research & Development,Medical,3,Female,2,Laboratory Technician,4,4011,No,3,12
41,Yes,Research & Development,Technical Degree,2,Female,5,Research Director,3,19545,No,3,22
34,No,Sales,Marketing,2,Male,2,Sales Executive,3,4568,No,3,9
37,No,Research & Development,Life Sciences,2,Male,1,Research Scientist,2,3022,No,3,1
46,No,Sales,Marketing,1,Male,2,Sales Executive,4,5772,Yes,3,9
35,No,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,4,2269,No,3,1
48,Yes,Research & Development,Life Sciences,1,Male,3,Laboratory Technician,3,5381,Yes,3,1
28,Yes,Research & Development,Technical Degree,3,Male,1,Laboratory Technician,3,3441,Yes,2,2
44,No,Sales,Marketing,2,Female,2,Sales Executive,1,5454,Yes,2,4
35,No,Research & Development,Medical,3,Male,3,Healthcare Representative,1,9884,Yes,3,4
26,No,Sales,Marketing,3,Female,2,Sales Executive,4,4157,Yes,2,2
33,No,Research & Development,Life Sciences,1,Female,3,Research Director,4,13458,Yes,3,15
35,No,Sales,Life Sciences,2,Male,3,Sales Executive,1,9069,No,2,9
35,No,Research & Development,Medical,3,Female,1,Laboratory Technician,1,4014,Yes,3,2
31,No,Research & Development,Life Sciences,4,Male,2,Laboratory Technician,4,5915,No,2,7
37,No,Research & Development,Life Sciences,1,Male,2,Manufacturing Director,3,5993,No,4,7
32,No,Research & Development,Medical,1,Male,2,Manufacturing Director,4,6162,Yes,3,9
38,No,Research & Development,Life Sciences,4,Female,2,Laboratory Technician,4,2406,No,3,10
50,No,Research & Development,Medical,2,Female,5,Research Director,3,18740,Yes,2,27
59,No,Sales,Life Sciences,1,Female,3,Sales Executive,1,7637,No,2,21
36,No,Research & Development,Technical Degree,3,Female,3,Healthcare Representative,3,10096,No,3,17
55,No,Research & Development,Medical,4,Female,4,Manager,3,14756,Yes,3,5
36,No,Research & Development,Life Sciences,2,Male,2,Manufacturing Director,2,6499,No,3,6
45,No,Research & Development,Life Sciences,2,Male,3,Research Scientist,1,9724,No,3,1
35,No,Research & Development,Medical,2,Male,1,Research Scientist,1,2194,No,2,3
36,Yes,Research & Development,Medical,4,Male,1,Research Scientist,3,3388,Yes,2,1
59,No,Sales,Life Sciences,1,Female,2,Sales Executive,3,5473,No,2,4
29,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,2,2703,No,3,5
31,No,Research & Development,Medical,3,Male,1,Research Scientist,2,2501,No,3,1
32,No,Research & Development,Life Sciences,2,Male,2,Research Scientist,2,6220,No,3,10
36,No,Research & Development,Life Sciences,2,Female,1,Laboratory Technician,4,3038,No,3,1
31,No,Research & Development,Life Sciences,3,Female,2,Manufacturing Director,4,4424,No,3,11
35,No,Sales,Marketing,3,Male,2,Sales Executive,1,4312,No,3,15
45,No,Research & Development,Other,4,Male,3,Research Director,1,13245,Yes,4,0
37,No,Research & Development,Medical,1,Male,3,Research Director,3,13664,No,4,5
46,No,Human Resources,Medical,2,Male,2,Human Resources,2,5021,Yes,3,4
30,No,Research & Development,Life Sciences,4,Male,2,Laboratory Technician,4,5126,Yes,2,10
35,No,Research & Development,Medical,2,Male,1,Research Scientist,3,2859,No,3,6
55,No,Sales,Life Sciences,1,Male,3,Sales Executive,4,10239,No,3,1
38,No,Research & Development,Medical,2,Female,2,Research Scientist,4,5329,Yes,3,13
34,No,Research & Development,Medical,1,Male,2,Manufacturing Director,2,4325,No,3,5
56,No,Research & Development,Life Sciences,4,Male,3,Manufacturing Director,4,7260,No,2,6
23,No,Sales,Technical Degree,3,Male,1,Sales Representative,1,2322,No,3,0
51,No,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,4,2075,No,3,4
30,No,Research & Development,Life Sciences,3,Male,2,Healthcare Representative,4,4152,No,3,11
46,Yes,Sales,Medical,3,Male,3,Sales Executive,4,9619,No,3,9
40,No,Research & Development,Life Sciences,3,Male,4,Healthcare Representative,2,13503,No,2,22
51,No,Sales,Marketing,3,Male,2,Sales Executive,4,5441,Yes,1,10
30,No,Sales,Medical,3,Female,2,Sales Executive,2,5209,Yes,2,11
46,No,Research & Development,Medical,3,Male,3,Healthcare Representative,1,10673,Yes,2,10
32,No,Sales,Medical,2,Male,2,Sales Executive,3,5010,No,3,11
54,No,Research & Development,Technical Degree,1,Female,3,Research Director,3,13549,No,1,4
24,No,Sales,Other,1,Female,2,Sales Executive,3,4999,No,2,3
28,No,Sales,Medical,2,Male,2,Sales Executive,3,4221,No,4,5
58,No,Sales,Medical,4,Male,4,Sales Executive,3,13872,No,2,37
44,No,Research & Development,Medical,2,Male,2,Laboratory Technician,2,2042,No,4,3
37,Yes,Human Resources,Human Resources,3,Male,1,Human Resources,1,2073,Yes,3,3
32,No,Research & Development,Life Sciences,4,Male,1,Research Scientist,1,2956,No,3,1
20,Yes,Research & Development,Life Sciences,4,Female,1,Laboratory Technician,4,2926,Yes,3,1
34,No,Research & Development,Other,1,Female,2,Research Scientist,3,4809,No,3,16
37,No,Research & Development,Life Sciences,3,Male,2,Healthcare Representative,4,5163,No,4,1
59,No,Human Resources,Human Resources,3,Female,5,Manager,4,18844,No,3,3
50,No,Research & Development,Life Sciences,1,Female,5,Research Director,2,18172,Yes,2,8
25,Yes,Sales,Marketing,3,Male,2,Sales Executive,3,5744,Yes,3,6
25,No,Research & Development,Medical,4,Male,1,Research Scientist,4,2889,No,3,2
22,No,Research & Development,Medical,2,Female,1,Laboratory Technician,4,2871,No,3,0
51,No,Research & Development,Medical,1,Female,3,Healthcare Representative,1,7484,No,2,13
34,Yes,Research & Development,Life Sciences,1,Male,2,Laboratory Technician,3,6074,Yes,3,9
54,No,Human Resources,Human Resources,4,Female,4,Manager,4,17328,Yes,3,5
24,No,Research & Development,Life Sciences,2,Male,1,Laboratory Technician,3,2774,No,3,5
34,No,Research & Development,Life Sciences,3,Female,2,Research Scientist,2,4505,No,3,1
37,No,Sales,Life Sciences,3,Male,3,Sales Executive,4,7428,No,3,5
34,No,Research & Development,Medical,3,Female,3,Manager,1,11631,No,3,11
36,No,Sales,Technical Degree,2,Female,3,Sales Executive,4,9738,No,3,9
36,No,Research & Development,Life Sciences,1,Female,1,Laboratory Technician,4,2835,No,3,1
43,No,Sales,Life Sciences,3,Male,4,Manager,4,16959,Yes,4,25
30,No,Research & Development,Life Sciences,1,Male,1,Research Scientist,3,2613,No,2,10
33,No,Sales,Marketing,3,Male,2,Sales Executive,2,6146,No,4,7
56,Yes,Research & Development,Life Sciences,2,Female,1,Research Scientist,2,4963,Yes,3,5
51,No,Research & Development,Life Sciences,1,Male,5,Research Director,3,19537,No,3,20
31,Yes,Sales,Life Sciences,2,Male,2,Sales Executive,3,6172,Yes,2,7
26,No,Research & Development,Other,3,Female,1,Research Scientist,2,2368,No,2,5
58,Yes,Research & Development,Medical,4,Female,3,Healthcare Representative,4,10312,No,2,40
19,Yes,Sales,Marketing,4,Male,1,Sales Representative,3,1675,Yes,2,0
22,No,Research & Development,Technical Degree,3,Male,1,Laboratory Technician,4,2523,No,3,2
49,No,Research & Development,Medical,3,Female,2,Manufacturing Director,1,6567,No,2,15
43,No,Research & Development,Medical,2,Female,1,Research Scientist,3,4739,No,3,3
50,No,Sales,Marketing,3,Female,3,Sales Executive,4,9208,No,3,2
31,Yes,Sales,Life Sciences,2,Female,2,Sales Executive,3,4559,Yes,3,2
41,No,Sales,Life Sciences,3,Male,3,Sales Executive,3,8189,Yes,3,9
26,No,Human Resources,Life Sciences,3,Female,1,Human Resources,3,2942,No,3,8
36,No,Research & Development,Medical,2,Male,2,Manufacturing Director,2,4941,No,3,3
51,Yes,Research & Development,Life Sciences,1,Male,3,Manufacturing Director,4,10650,No,3,4
39,No,Sales,Life Sciences,4,Female,2,Sales Executive,3,5902,No,4,15
25,No,Sales,Life Sciences,1,Male,2,Sales Executive,3,8639,No,3,2
30,No,Human Resources,Human Resources,3,Male,2,Human Resources,4,6347,Yes,1,11
32,Yes,Research & Development,Medical,1,Female,1,Laboratory Technician,1,4200,No,4,5
45,No,Research & Development,Medical,3,Male,1,Research Scientist,4,3452,No,2,6
38,No,Research & Development,Technical Degree,4,Female,2,Research Scientist,3,4317,Yes,3,3
30,No,Research & Development,Life Sciences,1,Female,1,Research Scientist,3,2632,No,2,5
32,No,Sales,Medical,4,Male,2,Sales Executive,4,4668,No,4,8
30,No,Research & Development,Technical Degree,4,Female,1,Research Scientist,1,3204,No,3,3
30,No,Research & Development,Medical,2,Male,1,Laboratory Technician,4,2720,No,3,5
41,No,Research & Development,Life Sciences,4,Male,4,Manager,1,17181,No,2,7
41,No,Research & Development,Life Sciences,3,Male,1,Laboratory Technician,1,2238,No,3,5
19,No,Research & Development,Medical,2,Female,1,Laboratory Technician,2,1483,No,3,1
40,No,Research & Development,Medical,2,Female,2,Research Scientist,2,5605,No,3,20
35,No,Sales,Marketing,3,Male,3,Sales Executive,2,7295,No,3,10
53,No,Sales,Marketing,2,Male,2,Sales Representative,3,2306,Yes,1,7
45,No,Research & Development,Life Sciences,2,Male,2,Laboratory Technician,2,2348,No,1,17
32,No,Sales,Marketing,2,Female,3,Sales Executive,4,8998,No,3,9
29,No,Research & Development,Technical Degree,4,Male,2,Manufacturing Director,3,4319,No,3,10
51,No,Research & Development,Medical,2,Male,2,Manufacturing Director,3,6132,No,3,1
58,No,Research & Development,Medical,2,Female,1,Research Scientist,2,3346,Yes,2,1
40,No,Sales,Marketing,3,Male,3,Sales Executive,4,10855,No,2,12
34,No,Sales,Marketing,3,Female,1,Sales Representative,3,2231,No,3,4
22,No,Research & Development,Medical,3,Male,1,Research Scientist,4,2323,No,3,2
27,No,Research & Development,Medical,4,Male,1,Research Scientist,2,2024,No,1,2
28,No,Research & Development,Medical,3,Male,1,Research Scientist,4,2713,No,1,5
57,No,Research & Development,Life Sciences,3,Male,3,Healthcare Representative,4,9439,Yes,1,5
27,No,Research & Development,Medical,3,Male,1,Research Scientist,3,2566,Yes,2,1
50,No,Research & Development,Life Sciences,3,Female,5,Manager,2,19926,No,3,5
41,No,Research & Development,Life Sciences,1,Male,1,Research Scientist,3,2451,No,3,9
30,No,Sales,Life Sciences,2,Female,3,Sales Executive,4,9419,No,3,10
38,No,Sales,Life Sciences,1,Female,2,Sales Executive,4,8686,No,4,8
32,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,3,3038,No,3,5
27,No,Research & Development,Technical Degree,3,Male,1,Research Scientist,2,3058,Yes,2,5
19,Yes,Sales,Technical Degree,3,Female,1,Sales Representative,1,2325,No,4,0
36,No,Research & Development,Medical,4,Male,1,Laboratory Technician,2,2088,No,2,8
30,No,Research & Development,Medical,3,Male,2,Laboratory Technician,1,3072,No,3,12
45,No,Sales,Life Sciences,3,Female,2,Sales Executive,1,5006,Yes,4,5
56,No,Research & Development,Life Sciences,3,Female,1,Research Scientist,1,4257,Yes,3,2
33,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,2500,No,4,3
19,Yes,Research & Development,Life Sciences,2,Male,1,Laboratory Technician,4,1102,No,2,1
46,No,Sales,Marketing,2,Female,3,Sales Executive,1,10453,No,3,24
38,No,Research & Development,Life Sciences,3,Female,1,Laboratory Technician,4,2288,No,3,2
31,No,Research & Development,Medical,3,Female,1,Research Scientist,4,3929,Yes,3,4
34,No,Research & Development,Medical,4,Female,1,Research Scientist,2,2311,No,3,3
41,Yes,Sales,Marketing,2,Female,1,Sales Representative,2,3140,Yes,2,4
50,No,Research & Development,Medical,3,Male,1,Laboratory Technician,3,3690,No,2,3
53,No,Research & Development,Medical,4,Female,2,Manufacturing Director,1,4450,No,3,4
33,No,Research & Development,Medical,4,Female,1,Research Scientist,2,2756,No,3,8
40,No,Research & Development,Medical,4,Female,5,Manager,3,19033,No,3,20
55,No,Research & Development,Medical,3,Male,5,Research Director,2,18722,No,3,24
34,No,Research & Development,Life Sciences,4,Male,2,Manufacturing Director,3,9547,No,2,10
51,No,Research & Development,Medical,4,Female,4,Healthcare Representative,2,13734,No,3,7
52,No,Research & Development,Life Sciences,3,Male,5,Manager,3,19999,No,3,33
27,No,Research & Development,Medical,4,Female,1,Research Scientist,2,2279,No,2,7
35,Yes,Research & Development,Life Sciences,2,Male,2,Manufacturing Director,3,5916,Yes,3,1
43,No,Research & Development,Medical,4,Male,1,Research Scientist,4,2089,No,4,5
45,No,Research & Development,Medical,1,Male,4,Manager,4,16792,No,3,20
37,No,Research & Development,Life Sciences,2,Male,1,Research Scientist,1,3564,Yes,2,8
35,No,Research & Development,Medical,2,Female,2,Laboratory Technician,2,4425,No,3,6
42,No,Research & Development,Medical,3,Female,2,Manufacturing Director,3,5265,No,3,5
38,No,Research & Development,Life Sciences,4,Male,2,Manufacturing Director,3,6553,No,3,1
38,No,Research & Development,Technical Degree,4,Male,2,Manufacturing Director,4,6261,No,1,7
27,No,Research & Development,Technical Degree,3,Male,2,Manufacturing Director,1,4298,No,3,2
49,No,Research & Development,Life Sciences,4,Male,2,Manufacturing Director,4,6804,Yes,3,7
34,No,Research & Development,Medical,4,Male,1,Research Scientist,3,3815,Yes,4,5
40,No,Research & Development,Medical,3,Male,2,Laboratory Technician,4,2741,Yes,4,7
38,Yes,Research & Development,Medical,2,Male,2,Healthcare Representative,1,6673,Yes,3,1
29,Yes,Sales,Marketing,2,Female,3,Sales Executive,4,7639,No,2,10
22,No,Research & Development,Life Sciences,4,Male,1,Research Scientist,2,2328,Yes,2,4
36,No,Research & Development,Medical,2,Female,1,Laboratory Technician,4,2153,No,3,8
40,No,Research & Development,Life Sciences,4,Male,2,Healthcare Representative,4,4876,No,1,3
46,No,Research & Development,Medical,4,Male,3,Healthcare Representative,1,9396,No,3,4
32,Yes,Sales,Medical,4,Male,3,Sales Executive,4,10400,No,2,14
30,No,Research & Development,Life Sciences,3,Male,3,Manufacturing Director,3,8474,No,3,11
27,No,Sales,Life Sciences,4,Female,2,Sales Executive,3,9981,No,3,7
51,No,Research & Development,Life Sciences,2,Male,3,Research Director,2,12490,No,1,10
30,Yes,Research & Development,Technical Degree,4,Female,1,Research Scientist,1,2657,Yes,3,5
41,No,Sales,Life Sciences,4,Female,3,Manager,4,13591,Yes,3,1
30,Yes,Sales,Marketing,3,Female,2,Sales Executive,1,6696,No,2,6
29,Yes,Research & Development,Technical Degree,3,Male,1,Research Scientist,3,2058,No,2,6
45,No,Sales,Medical,4,Female,3,Sales Executive,4,8865,No,3,19
54,No,Sales,Marketing,4,Female,2,Sales Executive,1,5940,No,3,6
36,No,Research & Development,Life Sciences,4,Male,2,Laboratory Technician,2,5914,No,4,13
33,No,Research & Development,Medical,3,Female,1,Research Scientist,2,2622,No,3,3
37,No,Research & Development,Other,2,Male,3,Research Director,4,12185,Yes,3,10
38,No,Sales,Life Sciences,1,Male,3,Sales Executive,3,10609,No,2,16
31,No,Research & Development,Medical,3,Male,2,Manufacturing Director,3,4345,No,3,5
59,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,2177,No,3,1
37,No,Sales,Marketing,1,Male,1,Sales Representative,4,2793,No,3,9
29,No,Sales,Medical,2,Female,3,Sales Executive,4,7918,No,3,11
35,No,Sales,Marketing,3,Female,3,Sales Executive,3,8789,No,4,10
29,Yes,Research & Development,Medical,3,Male,1,Research Scientist,4,2389,Yes,2,4
52,No,Research & Development,Life Sciences,3,Female,1,Laboratory Technician,4,3212,No,2,2
42,No,Research & Development,Technical Degree,3,Male,5,Manager,4,19232,No,3,22
59,No,Human Resources,Medical,2,Male,1,Human Resources,3,2267,No,2,2
50,No,Sales,Medical,4,Female,5,Manager,4,19517,No,2,7
33,Yes,Research & Development,Medical,3,Male,1,Laboratory Technician,4,2436,Yes,1,5
43,No,Sales,Marketing,4,Female,4,Manager,4,16064,Yes,3,17
33,Yes,Research & Development,Life Sciences,1,Female,1,Laboratory Technician,1,2707,No,4,9
52,No,Sales,Life Sciences,1,Male,5,Manager,3,19068,Yes,4,33
32,No,Sales,Life Sciences,3,Female,1,Sales Representative,2,3931,No,3,4
32,Yes,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,3,3730,Yes,1,3
39,No,Research & Development,Medical,3,Female,1,Laboratory Technician,3,2232,No,3,3
32,No,Sales,Marketing,3,Male,2,Sales Executive,4,4465,No,3,3
41,No,Research & Development,Life Sciences,3,Male,2,Research Scientist,1,3072,No,2,1
40,No,Research & Development,Technical Degree,1,Male,2,Research Scientist,4,3319,No,3,9
45,No,Research & Development,Other,3,Male,5,Manager,4,19202,No,3,24
31,No,Research & Development,Medical,2,Male,3,Research Director,3,13675,No,3,2
33,No,Research & Development,Life Sciences,3,Female,1,Research Scientist,4,2911,No,2,2
34,No,Research & Development,Life Sciences,4,Male,2,Manufacturing Director,1,5957,No,3,11
37,No,Research & Development,Medical,3,Female,1,Research Scientist,1,3920,No,2,3
45,No,Research & Development,Life Sciences,1,Male,2,Manufacturing Director,3,6434,No,3,3
37,Yes,Research & Development,Medical,1,Male,3,Manufacturing Director,3,10048,No,3,1
39,No,Research & Development,Technical Degree,3,Female,3,Healthcare Representative,3,10938,No,3,19
29,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,2340,No,3,6
42,No,Research & Development,Life Sciences,4,Female,2,Research Scientist,1,6545,Yes,3,3
29,No,Sales,Marketing,4,Male,2,Sales Executive,4,6931,No,3,3
25,No,Research & Development,Life Sciences,1,Female,2,Manufacturing Director,3,4898,No,3,4
42,No,Research & Development,Medical,4,Female,1,Laboratory Technician,1,2593,Yes,3,9
40,No,Research & Development,Medical,1,Male,5,Research Director,3,19436,No,3,21
51,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,2723,No,2,1
31,Yes,Research & Development,Medical,3,Male,1,Laboratory Technician,2,3479,No,4,5
32,No,Research & Development,Life Sciences,2,Male,1,Laboratory Technician,2,2794,No,1,5
38,No,Sales,Life Sciences,4,Male,2,Sales Executive,4,5249,No,3,8
32,No,Research & Development,Technical Degree,4,Male,2,Laboratory Technician,1,2176,No,3,6
46,No,Sales,Technical Degree,3,Female,4,Manager,2,16872,Yes,2,7
28,Yes,Research & Development,Life Sciences,1,Male,1,Laboratory Technician,3,3485,No,1,0
29,No,Sales,Medical,1,Male,2,Sales Executive,2,6644,No,3,0
31,No,Research & Development,Medical,2,Male,2,Healthcare Representative,4,5582,No,3,9
25,No,Research & Development,Life Sciences,2,Male,2,Healthcare Representative,1,4000,No,3,6
45,No,Research & Development,Medical,3,Male,4,Healthcare Representative,4,13496,Yes,3,20
36,No,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,4,3210,No,3,15
55,No,Research & Development,Medical,4,Male,5,Manager,1,19045,Yes,3,36
47,Yes,Research & Development,Life Sciences,1,Male,3,Manager,2,11849,Yes,2,10
28,No,Research & Development,Medical,4,Male,1,Research Scientist,4,2070,No,2,5
37,No,Sales,Medical,3,Male,2,Sales Executive,4,6502,No,4,5
21,No,Research & Development,Medical,4,Male,1,Research Scientist,3,3230,No,4,3
37,No,Research & Development,Medical,1,Female,3,Research Director,4,13603,Yes,3,5
35,No,Research & Development,Life Sciences,2,Female,3,Manager,2,11996,No,2,7
38,No,Sales,Medical,1,Female,2,Sales Executive,1,5605,Yes,3,8
26,No,Research & Development,Life Sciences,3,Female,2,Manufacturing Director,2,6397,No,1,6
50,No,Research & Development,Life Sciences,1,Male,5,Research Director,2,19144,No,2,10
53,No,Research & Development,Medical,3,Male,4,Research Director,3,17584,Yes,2,5
42,No,Sales,Life Sciences,2,Male,2,Sales Executive,3,4907,No,3,20
29,No,Sales,Life Sciences,2,Male,2,Sales Executive,4,4554,No,2,10
55,No,Research & Development,Technical Degree,2,Male,2,Laboratory Technician,4,5415,Yes,3,10
26,No,Research & Development,Medical,1,Male,2,Healthcare Representative,1,4741,Yes,3,5
37,No,Research & Development,Life Sciences,4,Female,1,Research Scientist,4,2115,No,3,17
44,Yes,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,3,3161,Yes,1,1
38,No,Research & Development,Life Sciences,4,Male,2,Healthcare Representative,4,5745,No,3,2
26,Yes,Research & Development,Medical,1,Male,1,Laboratory Technician,2,2373,Yes,3,3
28,No,Research & Development,Life Sciences,4,Female,1,Research Scientist,4,3310,No,3,5
49,No,Research & Development,Life Sciences,3,Female,5,Research Director,1,18665,Yes,3,3
36,No,Research & Development,Technical Degree,3,Male,2,Research Scientist,2,4485,No,3,8
31,No,Sales,Marketing,4,Female,1,Sales Representative,2,2789,No,2,2
26,Yes,Sales,Marketing,4,Male,2,Sales Executive,4,5828,Yes,3,8
37,No,Research & Development,Medical,2,Male,1,Research Scientist,4,2326,Yes,2,4
42,No,Sales,Marketing,3,Female,4,Sales Executive,2,13525,No,4,20
18,Yes,Research & Development,Life Sciences,3,Male,1,Laboratory Technician,3,1420,No,3,0
35,No,Sales,Marketing,3,Male,3,Sales Executive,2,8020,No,2,11
36,No,Research & Development,Life Sciences,3,Male,1,Laboratory Technician,4,3688,No,3,1
51,No,Research & Development,Medical,4,Male,2,Manufacturing Director,2,5482,No,3,4
41,No,Sales,Life Sciences,4,Male,4,Manager,2,16015,No,3,22
18,No,Sales,Medical,4,Female,1,Sales Representative,3,1200,No,3,0
28,No,Research & Development,Medical,2,Male,2,Healthcare Representative,1,5661,No,3,8
31,No,Sales,Technical Degree,2,Male,2,Sales Executive,4,6929,No,2,8
39,No,Research & Development,Medical,3,Male,3,Healthcare Representative,4,9613,No,2,18
36,No,Research & Development,Life Sciences,2,Female,2,Laboratory Technician,2,5674,No,3,9
32,No,Sales,Life Sciences,4,Male,2,Sales Executive,3,5484,No,2,13
38,No,Research & Development,Life Sciences,1,Female,3,Research Director,2,12061,No,3,10
58,No,Research & Development,Life Sciences,4,Male,2,Healthcare Representative,3,5660,Yes,3,5
31,No,Research & Development,Technical Degree,3,Male,1,Research Scientist,4,4821,Yes,3,5
31,No,Human Resources,Human Resources,1,Male,2,Human Resources,1,6410,No,3,2
45,No,Research & Development,Life Sciences,1,Male,3,Laboratory Technician,1,5210,No,3,24
31,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,2695,Yes,1,2
33,No,Research & Development,Life Sciences,4,Female,3,Manager,2,11878,No,3,10
39,No,Research & Development,Medical,3,Male,4,Manager,1,17068,Yes,3,21
43,No,Research & Development,Life Sciences,3,Female,1,Laboratory Technician,4,2455,No,3,8
49,No,Research & Development,Technical Degree,3,Female,4,Healthcare Representative,3,13964,Yes,3,7
52,Yes,Research & Development,Medical,3,Male,2,Research Scientist,2,4941,No,2,8
27,No,Research & Development,Life Sciences,3,Female,1,Research Scientist,2,2478,Yes,2,4
32,No,Sales,Technical Degree,3,Female,2,Sales Executive,2,5228,Yes,3,13
27,No,Sales,Life Sciences,4,Male,2,Sales Executive,3,4478,Yes,3,5
31,No,Sales,Marketing,4,Male,2,Sales Executive,4,7547,No,3,7
32,No,Research & Development,Medical,1,Female,2,Research Scientist,4,5055,No,2,7
28,Yes,Research & Development,Medical,1,Male,1,Research Scientist,4,3464,Yes,2,3
30,No,Research & Development,Medical,4,Female,2,Research Scientist,4,5775,No,3,10
31,No,Research & Development,Life Sciences,3,Female,3,Manufacturing Director,3,8943,No,3,10
39,No,Research & Development,Medical,3,Male,5,Manager,4,19272,No,3,21
39,Yes,Sales,Medical,4,Female,2,Sales Executive,3,5238,Yes,2,1
33,No,Sales,Marketing,2,Male,2,Sales Executive,4,4682,No,2,7
47,No,Research & Development,Life Sciences,4,Male,5,Research Director,3,18300,No,3,3
43,No,Research & Development,Life Sciences,3,Female,2,Laboratory Technician,3,5257,No,4,9
27,No,Sales,Marketing,3,Male,2,Sales Executive,2,6349,Yes,3,5
54,No,Research & Development,Life Sciences,4,Female,2,Research Scientist,3,4869,No,2,4
43,No,Research & Development,Life Sciences,3,Female,3,Healthcare Representative,1,9985,No,2,1
